"","Year","Month","Police.District.Name","num"
"492","2019","08","GERMANTOWN",410
"493","2023","12","GERMANTOWN",410
"494","2019","12","ROCKVILLE",409
"495","2022","04","GERMANTOWN",409
"496","2020","02","BETHESDA",406
"497","2022","11","GERMANTOWN",406
"498","2025","05","GERMANTOWN",406
"499","2022","12","ROCKVILLE",405
"500","2023","03","GERMANTOWN",405
"501","2016","11","GERMANTOWN",404
"502","2019","04","ROCKVILLE",404
"503","2016","12","ROCKVILLE",403
"504","2018","09","ROCKVILLE",401
"505","2019","06","BETHESDA",401
"506","2019","10","ROCKVILLE",401
"507","2019","01","GERMANTOWN",398
"508","2021","02","MONTGOMERY VILLAGE",398
"509","2025","06","BETHESDA",398
"510","2018","03","GERMANTOWN",397
"511","2021","05","GERMANTOWN",397
"512","2021","08","BETHESDA",397
"513","2021","10","ROCKVILLE",397
"514","2022","06","GERMANTOWN",397
"515","2025","04","ROCKVILLE",397
"516","2017","12","GERMANTOWN",396
"517","2024","02","BETHESDA",395
"518","2019","06","ROCKVILLE",394
"519","2019","09","BETHESDA",394
"520","2019","10","GERMANTOWN",394
"521","2022","08","ROCKVILLE",394
"522","2019","02","BETHESDA",393
"523","2020","05","BETHESDA",393
"524","2020","07","GERMANTOWN",393
"525","2021","02","WHEATON",393
"526","2020","02","ROCKVILLE",392
"527","2020","03","GERMANTOWN",392
"528","2018","02","ROCKVILLE",391
"529","2019","01","ROCKVILLE",391
"530","2020","05","ROCKVILLE",391
"531","2018","02","BETHESDA",389
"532","2025","04","BETHESDA",388
"533","2018","11","ROCKVILLE",387
"534","2023","07","GERMANTOWN",387
"535","2019","09","GERMANTOWN",386
"536","2019","09","ROCKVILLE",386
"537","2019","11","GERMANTOWN",386
"538","2025","06","GERMANTOWN",386
"539","2023","01","ROCKVILLE",385
"540","2024","08","ROCKVILLE",384
"541","2024","10","GERMANTOWN",384
"542","2023","01","GERMANTOWN",383
"543","2023","09","ROCKVILLE",383
"544","2024","10","ROCKVILLE",383
"545","2017","04","GERMANTOWN",382
"546","2018","02","GERMANTOWN",382
"547","2020","08","GERMANTOWN",382
"548","2021","12","GERMANTOWN",381
"549","2025","03","GERMANTOWN",379
"550","2025","07","MONTGOMERY VILLAGE",379
"551","2020","11","BETHESDA",378
"552","2019","02","GERMANTOWN",377
"553","2024","06","GERMANTOWN",377
"554","2020","05","MONTGOMERY VILLAGE",376
"555","2021","06","GERMANTOWN",376
"556","2024","08","GERMANTOWN",376
"557","2022","11","ROCKVILLE",375
"558","2020","04","WHEATON",374
"559","2020","06","WHEATON",374
"560","2020","11","GERMANTOWN",374
"561","2024","04","ROCKVILLE",373
"562","2025","05","ROCKVILLE",373
"563","2018","03","BETHESDA",372
"564","2019","02","ROCKVILLE",372
"565","2020","10","GERMANTOWN",372
